Name;Description;Requirements;Cooldown;Slots;Range;Sets;Stat;School Image;School;Ap;Sp;Image
Peace of Mind;Target gains Clear-Minded, which increases Strength, Finesse, Intelligence by (1 + amount scaled by level), Wits by (2 + amount scaled by level). Removes Blinded, Terrified, Charmed, Taunted, Sleeping, Enraged and Mad.;Requires Pyrokinetic 1;3;1 Memory;Range 13m;Set Clear-Minded for 3 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinetic;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic_burn_my_eyes-icon.png
Haste;Sets Hasted on target character. Hasted increases movement speed by 2m per AP and gives an additional 1 AP per turn. Clears Slowed and Crippled.;Requires Pyrokinetic 1;3;1 Memory;Range 13m;Set Hasted for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinectic;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic_haste-icon.png
Ignition;Sets enemy characters around you on fire. Deals 40% Fire Damage to each. Ignites all susceptible surfaces.;Requires Pyrokinetic 1;2;1 Memory;Range 13m;Set Burning for 2 turn(s).;Damage is based on your level and receives bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinectic;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic_ignition-icon.png
Searing Daggers;"Shoot three flaming daggers at targets of your choice, each creating a fire surface and dealing 25% fire damage
1m Explode Radius";Requires Pyrokinetic 1;3;1 Memory;Range 13m;Set Burning for two turns.;Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinectic;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic_searing_daggers-icon.png
Spontaneous Combustion;Deal 75% Fire Damage to target character. If the character is affected by Burning or Necrofire, remove those statuses and deal additional damage for each turn of duration remaining.;Requires Pyrokinetic 2;3;1 Memory;Range 13m;Cleans Burning/Necrofire.;Damage is based on your level and receives a bonus from your Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinectic;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic_spontaneous_combustion-icon.png
Fireball;Hurl a fiery sphere that will explode, dealing 100% Fire Damage;Requires Pyrokinetic 2;4;1 Memory;"Range 13m
3m Explode Radius";Set Burning for 2 turn(s).;Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinectic;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic_fireball-icon.png
Bleed Fire;Enemies will bleed fire when hit. Also creates a small fire area beneath each target and ignites surfaces in the area.;"Requires Pyrokinetic 1
Requires Polymorph 1";3;1 Memory;Range 13m;Set Bleed Fire for 3 turn(s).;Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinectic;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic_fire_blood-icon.png
Summon Fire Slug;Summon a Fire Slug. Your Fire Slug can create fire surfaces and launch linear fire attacks.;Requires Pyrokinetic 3;6;2 Memory;"Range 13m
Duration 5 turns";;The stats of the summon will depend on the caster's level and summoning ability.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinectic;1;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-14-11.png
Supernova;Explode, creating fire surfaces and dealing 175% Fire Damage in a large area around you. (Except areas blocked by obstacles);Requires Pyrokinetic 2;6;1 Memory;Range 13m;;Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinectic;3;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic_supernova-icon.png
Laser Ray;Line of intese heat that deals 150% Fire Damage to characters and leaves fire clouds behind.;Requires Pyrokinetic 2;3;1 Memory;Range 20m;Set Burning for 2 turn(s).;Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinectic;3;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic_laser_ray-icon.png
Flaming Crescendo;Curse the target to explode after one turn or on death, dealing 175% Fire Damage in a 3m radius.;Requires Pyrokinetic 3;5;1 Memory;"Range 10m
3m Explode Radius";Set Flaming Crescendo for 3 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinectic;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic_flaming_crescendo-icon.png
Flaming Tongues;Flaming tongues protect you, immediately attacking approaching enemies, dealing 100% Fire Damage.;Requires Pyrokinetic 2;5;1 Memory;Radius 3m;Set Flaming Tongues for 3 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinetic;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic_flaming_tongues-icon.png
Fire Whip;Long-range attack that deals 155% Fire Damage to a single target, leaving them blind and burning.;Requires Pyrokinetic 2;3;1 Memory;Range 8m;"Set Burning for 1 Turn(s).
Set Blinded for 1 Turn(s)";Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinectic;3;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic_fire_whip-icon.png
Firebrand;An aura that adds 50% Fire Damage for weapon skills and attacks for all allies near you.;Requires Pyrokinetic 3;3;1 Memory;" 
8m Radius";Set Firebrand for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinetic;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic_fire_brand-icon.png
Corpse Explosion;Explode the target corpse, dealing 250%  physical damage in the area;"Requires Pyrokinetic 1
Requires Necromancer 1";4;1 Memory;"Range 13m
Radius 3m";;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinectic;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-15-17.png
Mass Corpse Explosion;Explode all corpses around you, dealing physical damage in the area;"Requires Pyrokinetic 2
Requires Necromancer 2";2;2 Memory;"Range 13m
Radius 3m";;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinectic;1;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-15-18.png
Sparking Swings;Receive Sparkstriker status. This causes your melee attacks to create a 100% Fire Damage spark projectile that bounces off the initial target to hit the closest enemy.;"Requires Pyrokinetic 1
Requires Warfare 1";5;1 Memory;"Range 13m
3m Explode Radius";Set Sparkstriker for 3 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinetic Skills;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-16-1.png
Master of Sparks;Target character and surrounding allies receive Sparkmaster status that adds a chance of fiery sparks to melee attacks.;"Requires Pyrokinetic 2
Requires Warfare 2";5;2 Memory;"Range 13m
3m Explode Radius";Set Sparkmaster for 3 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinectic;1;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-15-16.png
Deploy Mass Traps;Throw 4 explosive traps at target locations. Each trap takes a turn to activate. When active, trap will explode when a character approaches it.;"Requires Pyrokinetic 2
Requires Huntsman 2";5;2 Memory;"Range 13m
3m Explode Radius";;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinectic;3;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-15-28.png
Throw Explosive Trap;Throw an explosive trap at target locations. Trap takes a turn to activate. When active, trap will explode when a character approaches it.;"Requires Pyrokinetic 1
Requires Huntsman 1";3;1 Memory;"Range 13m
3m Explode Radius";;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinectic;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-15-29.png
Meteor Shower;25 fireballs come crashing from the sky. Each does 20% Fire Damage within a 3m range from impact.;Requires Pyrokinetic 5;4;3 Memory;"Range 13m
3m Explode Radius";;Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinetic;4;3;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-18-1.png
Epidemic of Fire;Fire a cursed flame that will fork on impact up to 5 times, dealing 150% Fire Damage and leaving a cursed fire surface in its wake.;Requires Pyrokinetic 3;6;2 Memory;Range 13m;Set Necrofire for 2 turn(s).;Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinectic;3;2;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-18-2.png
Mass Sabotage;Explode two random grenades or arrows in the inventories of any enemy in a target circle.;"Requires Pyrokinetic 2
Requires Scoundrel 2";5;2 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinectic;2;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-15-30.png
Sabotage;If target character is carrying grenades or arrows, a random one explodes in their inventory.;"Requires Pyrokinetic 1
Requires Scoundrel 1";1;1 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-skill-s.png;Pyrokinectic;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-15-31.png
Adrenaline;Gain 2 Action Points immediately, but lose 2 Action Points next turn. Any Action Points over your maximum are lost.;Requires Scoundrel 1;4;1 Memory;Range --;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-skills-s.png;Scoundrel;0;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel_adrenaline-icon.png
Chloroform;"Destroys [X] Magical Armour  and then tries to set Sleeping.
Does not break Invisibility or Sneaking.";Requires Scoundrel 1;3;1 Memory;Range 13m;Set Sleeping for 1 turn(s).;Damage is based on your level and receives bonus from Finesse.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-skills-s.png;Scoundrel;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel_chloroform-icon.png
Sawtooth Knife;Pierce the enemy's Physical Armour and directly deals 100% piercing damage. Sets Bleeding if enemy has no Physical Armour.;"Requires Scoundrel 2
Requires a Dagger";3;1 Memory;Range 2.5m;Set Bleeding for 3 turn(s).;Damage is based on your basic attack and receives a bonus from Finesse.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-skills-s.png;Scoundrel;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel_sawtooth_knife-icon.png
Throwing Knife;Throw a knife at your opponent, dealing 85% damage. Can backstab!;"Requires Scoundrel 1
Requires a dagger";1;1 Memory;Range 8m;;Damage is based on your basic attack and receives a bonus from Finesse;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-skills-s.png;Scoundrel;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel_throwing_knife-icon.png
Backlash;Jump over the enemy, landing behind their back and backstabbing them for 85% damage.;"Requires Scoundrel 1
Requires a Dagger";3;1 Memory;Range 8m;;Damage is based on your basic attack and receives a bonus from Finesse;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-skills-s.png;Scoundrel;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel_backlash-icon.png
Cloak and Dagger;Teleport without breaking sneaking.;Requires Scoundrel 2;4;1 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-skills-s.png;Scoundrel;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-3-15.png
Fan of Knives;Fling a dagger at every enemy around you, dealing 125% damage. Can backstab!;"Requires Scoundrel 3
Requires a Dagger";2;2 Memory;Range 8m;;Damage is based on your basic attack and receives a bonus from Finesse.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-skills-s.png;Scoundrel;3;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-15-7.png
Terrifying Cruelty;Dagger attack that deals 110% damage and sets Bleeding and Fear on target character.;"Requires Scoundrel 3
Requires a Dagger";4;1 Memory;Range 2.5m;"Set Bleeding for 3 turn(s).
Set Terrified for 1 turn(s).";Damage is based on your basic attack and receives a bonus from Finesse.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-skills-s.png;Scoundrel;3;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-15-6.png
Mortal Blow;Deal 140% damage. Damage is doubled if you are sneaking or invisible. Target is killed instantly if below 20% Vitality.;"Requires Scoundrel 5
 Requires a Dagger";0;3 Memory;Range 2.5m;;"Instantly kill target below 20% Vitality.
Damage is based on your basic attack and receives a bonus from Finesse.";https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-skills-s.png;Scoundrel;2;3;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-18-3.png
Wind-Up Toy;Summon a mechanical bomber at the target point. The bomber can explode, dealing fire damage and producing a fire surface.;Requires Scoundrel 3;6;1 Memory;"Range 13m
1m Explode radius";;The stats of the summons will depend on caster level and Summoning ability.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-skills-s.png;Scoundrel;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel_wind-up_toy-icon.png
Sleeping Arms;Deal 100% damage and set Atrophy: your target can't use weapons or weapon skills anymore.;"Requires Scoundrel 2
Requires a Dagger";3;1 Memory;Range 2.5m;Set Atrophy for 2 turn(s).;Damage is based on your basic attack and receives a bonus from Finesse.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-skills-s.png;Scoundrel;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel_sleeping_arms-icon.png
Daggers Drawn;Whirl into a barrage of 5 stabs, each dealing 65% damage.;"Requires Scoundrel 3
Requires a Dagger";6;2 Memory;Range 2.5m;;Damage is based on your basic attack and receives a bonus from Finesse.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-skills-s.png;Scoundrel;4;2;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel_daggers_drawn-icon.png
Rupture Tendons;Deal 100% damage to target character. When they try to move, they will take piercing damage.;"Requires Scoundrel 2
Requires a Dagger";5;1 Memory;Range 2m;Set Ruptured Tendons for 2 turn(s).;Damage is based on your basic attack and receives a bonus from Finesse.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-skills-s.png;Scoundrel;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel_knee_breaker-icon.png
Corrupted Blade;Dagger attack that deals 150% damage and sets Decay and Diseased.;"Requires Scoundrel 2
Requires a Dagger";4;1 Memory;Range 2.5m;"Set Decaying for 2 turn(s).
Set Diseased for 2 turn(s).";Damage is based on your basic attack and receives a bonus from Finesse.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-skills-s.png;Scoundrel;3;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-14-20.png
Gag Order;Destroy [X] Magical Armour  on target character. Silence target.;"Requires Scoundrel 2
Requires a Dagger";4;1 Memory;Range 2.5m;Set Silenced for 1 turn.;Damage is based on your basic attack and receives a bonus from Finesse.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-skills-s.png;Scoundrel;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/scoundrel-15-25.png
Conjure Incarnate;Conjure a personal elemental that matches the ground surface it's summoned onto. Your incarnate can be buffed with Infusions. Once you hit Summoning ability level of 10, a colossal Incarnate Champion will answer your summons!;Requires Summoning 1;5;1 Memory;"Range 13m
Duration 10 turns";;The stats of the summons will depend on caster level and Summoning ability.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning_summon_incarnate-icon.png
Dimensional bolt;Shoot a volatile bolt that deals 100% of a random type, and then creates a corresponding surface;Requires Summoning 1;1;1 Memory;Range 13m;;Damage is based on your level and receives bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning_dimensional_bolt-icon.png
Elemental Totem;Target a ground surface and conjure a totem of the corresponding element. Each turn, this totem will fire a projectile at enemies in sight.;Requires Summoning 1;1;1 Memory;"Range 13m
Duration 3 turns";;The stats of the summons will depend on caster level and Summoning ability.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-12-29.png
Farsight Infusion;Unlock a ranged attack for your Incarnate. Provides [100% of total heal value]  Magical Armour;Requires Summoning 1;3;1 Memory;Range 13m;Set Farsight Infusion.;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning_ranged_infusion-icon.png
Power Infusion;Unlock Whirlwind and Rush for your Incarnate. Provides [100% of total heal value] Physical Armour  .;Requires Summoning 2;3;1 Memory;Range 13m;Set Power Infusion.;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning_power_infusion-icon.png
Rallying Cry;"Target character regenerates Vitality and Magic Armour according to the number of allied characters and totems in their vicinity.
Restore [50% of total heal value] Vitality and  [18% of total heal value] Magic Armour.
Multiplied by the number of friendly characters in a 6 meter radius around the target.";Requires Summoning 2;3;1 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning_harmony-icon.png
Supercharger;Target totem or summon deals 100%  more base damage during its next turn, but then it dies.;Requires Summoning 2;2;1 Memory;Range 13m;Set Supercharged for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning_supercharge-icon.png
Cannibalise;Destroy an allied summon or totem. Receive their Vitality, Physical Armour and Magic Armour.;Requires Summoning 3;2;1 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning_cannibalize-icon.png
Door to Eternity;Give all summons around you a status that prevents them from dying to damage or disappearing when their life runs out.;Requires Summoning 3;3;2 Memory;Range 13m;Set Persisting for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;2;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-15-5.png
Ethereal Storm;Unpredictable projectiles from distant planes strike target area, dealing random elemental damage to enemies or healing allies.;Requires Summoning 5;5;3  Memory;"Range 15m
Duration 2 turn(s)";;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;4;3;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-14-17.png
Planar Gateway;Conjure two linked gateways that allow any character to instantly travel between them.;Requires Summoning 3;6;2 Memory;"Range 13m
Duration 10 turn(s)";;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-14-18.png
Soul Mate;Bind yourself to target character, copying any healing and Armour restoration that you receive to them. Clears Frozen, Stunned, Knocked Down and Petrified.;Requires Summoning 2;5;1 Memory;Range 13m;Set Soul Mate for 3 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-14-21.png
Warp Infusion;Incarnate learns a teleport skill, and a skill to swap places with its master.;Requires Summoning 3;3;1 Memory;Range 13m;Set Warp Infusion.;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-14-25.png
Shadow Infusion;Incarnate learns how to go invisible and strike foes with a corrosive slash.;Requires Summoning 2;3;1 Memory;Range 13m;Set Shadow Infusion.;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-14-26.png
Dominate Mind;Charm target non-allied character, causing them to join your side in combat for the duration of the status.;"Requires
Summoning 2";5;1 Memory;Range 13m;Set Charmed for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;3;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-18-6.png
Necrofire Infusion;Change Incarnate's element to necrofire, unlocking Fireball and Epidemic Of Fire.;"Requires Summoning 2
Requires Pyrokinetic 2";3;2 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;1;2;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-15-19.png
Ice Infusion;Change Incarnate's element to blessed ice, unlocking Restoration and Steam Lance.;"Requires Summoning 2
Requires Hydrosophist 2";3;2 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;1;2;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-15-27.png
Electric Infusion;Change Incarnate's element to electricity, unlocking Electric Discharge.;"Requires Summoning 1
Requires Aerotheurge 1";3;1 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning_electric_infusion-icon.png
Fire Infusion;Change Incarnate's element to fire, unlocking Fireball.;"Requires Summoning 1
Requires Pyrokinetic 1";3;1 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-13-7.png
Poison Infusion;Change Incarnate's element to poison, unlocking Poison Dart.;"Requires Summoning 1
Requires Geomancer 1";3;1 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-13-4.png
Water Infusion;Change Incarnate's element to water, unlocking Restoration.;"Requires Summoning 1
Requires Hydrosophist 1";3;1 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-13-6.png
Summon Inner Demon;Conjure a demon that will share their Intelligence with you and provide [X] Magical Armour . Grants you power to terrify and protect yourself with demonic fists.;;6;2 Memory;Range --;Set Inner Demon for 3 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;1;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-17-15.png
Demonic Tutelage;Your inner demon actively watches over you. When an enemy approaches melee range, they will be pummelled by a demonic fist dealing physical damage.;Requires Inner Demon;3;;Range 2m;Set Demonic Tutelage for 3 turn(s).;Damage is based on your level and receives bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-17-7.png
Terrify;Destroy [X] Magic Armour on target enemy. They are Terrified for 2 turn(s).;Requires Inner Demon;1;;Range 13m;Set Terrified for 2 turn(s).;Damage is based on your level and receives bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-17-6.png
